Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-07-18 16:45:16;"Trening 2";"Deadlift (Barbell)";3;50;kg;8;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Deadlift (Barbell)";4;45;kg;8;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bent Over Row (Barbell)";1;65;kg;5;;;;0;"";;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bent Over Row (Barbell)";2;60;kg;6;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bent Over Row (Barbell)";3;55;kg;8;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bent Over Row (Barbell)";4;50;kg;8;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Pull Up";1;0;kg;10;;;;0;"";;1h 22m
2018-07-18 16:45:16;"Trening 2";"Pull Up";2;0;kg;7;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Pull Up";3;0;kg;5;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Pull Up";4;0;kg;5;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bench Press (Dumbbell)";1;22,5;kg;10;;;;0;"";;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bench Press (Dumbbell)";2;22,5;kg;10;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bench Press (Dumbbell)";3;22,5;kg;8;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bicep Curl (Dumbbell)";1;10;kg;12;;;;0;"";;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bicep Curl (Dumbbell)";2;10;kg;10;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Bicep Curl (Dumbbell)";3;10;kg;9;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Plank";1;;;;;;km;60;"";;1h 22m
2018-07-18 16:45:16;"Trening 2";"Plank";2;;;;;;km;60;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Plank";3;;;;;;km;60;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Cable Crunch";1;40;kg;12;;;;0;"";;1h 22m
2018-07-18 16:45:16;"Trening 2";"Cable Crunch";2;40;kg;12;;;;0;;;1h 22m
2018-07-18 16:45:16;"Trening 2";"Cable Crunch";3;40;kg;12;;;;0;;;1h 22m
2018-07-19 14:51:07;"Trening 1";"Bench Press (Barbell)";1;72,5;kg;5;;;;0;"";"";1h 27m
2018-07-19 14:51:07;"Trening 1";"Bench Press (Barbell)";2;67,5;kg;6;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Bench Press (Barbell)";3;62,5;kg;8;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Bench Press (Barbell)";4;60;kg;8;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Overhead Press (Barbell)";1;45;kg;5;;;;0;"";;1h 27m
2018-07-19 14:51:07;"Trening 1";"Overhead Press (Barbell)";2;40;kg;6;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Overhead Press (Barbell)";3;35;kg;8;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Overhead Press (Barbell)";4;30;kg;8;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Squat (Barbell)";1;45;kg;5;;;;0;"";;1h 27m
2018-07-19 14:51:07;"Trening 1";"Squat (Barbell)";2;45;kg;6;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Squat (Barbell)";3;40;kg;8;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Squat (Barbell)";4;40;kg;8;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Front Raise (Dumbbell)";1;10;kg;8;;;;0;"";;1h 27m
2018-07-19 14:51:07;"Trening 1";"Front Raise (Dumbbell)";2;10;kg;7;;;;0;;;1h 27m
2018-07-19 14:51:07;"Trening 1";"Triceps Dip";1;8;kg;12;;;;0;"";;1h 27m
